"EventNumber","Time.msec","JOY_X_signal","JOY_Y_signal","BEAM_Z_signal","Date","X.N","Y.N","Z.N","X.N.off","Y.N.off","Z.N.off","Norm","BaselineTime.msec","PeckPush","Duration.msec","StartPeak.msec","EndPeak.msec"
343,1639032,2410,1872,1751,2017-01-06,-2.3,-3.57,-3.13,-2.36,-3.77,-0.07,4.45,1637792,"Peck",20,1639022,1639042
344,1639122,2485,1892,1758,2017-01-06,1.63,-2.16,-2.82,1.57,-2.35,0.24,2.84,1637792,NA,NA,NA,NA
345,1639302,2410,1924,1710,2017-01-06,-2.3,0.11,-4.93,-3.77,0.65,-1.1,3.98,1639142,"Peck",20,1639292,1639312
346,1639372,2436,1884,1745,2017-01-06,-0.94,-2.72,-3.39,-2.41,-2.19,0.44,3.28,1639142,"Push",40,1639362,1639402
347,1639462,2433,1931,1695,2017-01-06,-1.1,0.6,-5.59,-2.57,1.14,-1.76,3.31,1639142,NA,NA,NA,NA
348,1639542,2449,1899,1739,2017-01-06,-0.26,-1.66,-3.65,-1.73,-1.12,0.18,2.07,1639142,NA,NA,NA,NA
349,1639622,2445,1894,1748,2017-01-06,-0.47,-2.01,-3.26,-1.94,-1.48,0.57,2.5,1639142,"Peck",30,1639612,1639642
350,1639732,2441,1933,1708,2017-01-06,-0.68,0.75,-5.02,-2.15,1.28,-1.19,2.77,1639142,"Peck",20,1639722,1639742
351,1639832,2447,1934,1704,2017-01-06,-0.36,0.82,-5.19,-1.83,1.35,-1.36,2.66,1639142,NA,NA,NA,NA
352,1639922,2435,1904,1740,2017-01-06,-0.99,-1.31,-3.61,-2.46,-0.77,0.22,2.59,1639142,NA,NA,NA,NA
353,1640902,2431,1904,1748,2017-01-06,-1.2,-1.31,-3.26,-2.19,-0.19,0.1,2.2,1640752,"Peck",20,1640892,1640912
354,1640992,2498,1889,1772,2017-01-06,2.31,-2.37,-2.2,1.32,-1.25,1.15,2.15,1640752,"Push",50,1640972,1641022
355,1641082,2514,1923,1748,2017-01-06,3.15,0.04,-3.26,2.16,1.16,0.1,2.46,1640752,"Push",40,1641052,1641092
356,1643712,2197,1955,1576,2017-01-06,-13.47,2.3,-10.81,-12.88,3.31,-7.32,15.18,1643562,"Peck",20,1643702,1643722
